gene	WT5_N	WT6_N	WT7_N	WT8_N	Wt11N	Wt13N	Wt14N	Wt17N	Wt19N	Wt20N	Wt0O	WT1_O	WT2_O	WT3_O	WT4_O
K00005	18.285925165729516	15.174870220993292	15.682370638274316	18.14306799431375	21.159791406408367	20.18528420743083	14.133745574966808	18.84875683515367	16.995956364588988	17.344989463860383	10.28460863392184	9.78704710841368	12.266951479759644	11.343467512971628	11.638345897143198
K00008	3.8496684559430556	4.93183282182282	6.514215495898561	5.422066297151235	6.576691923613412	4.095564911652632	6.651174388219674	4.1531159128304695	3.289539941533352	2.6458458504193807	1.5426912950882758	1.7020951492893355	2.787943518127192	3.478663370644633	1.518045117018678
K00009	112.1215937793415	95.98105414778257	119.42728409147362	105.73029279444908	101.50981012533744	61.14093332395715	81.47688625569101	84.02072962110873	81.14198522448936	95.2504506150977	74.82052781178137	61.913711055399574	72.48653147130699	67.90955884432348	69.83007538285919
K00012	42.105748736877175	41.92057898549397	52.596258448366164	44.21069442292546	40.31798092302135	33.349599994885715	32.97873967492255	36.41963185097488	36.18493935686688	34.983961799989586	22.626138994628047	22.552760728083694	26.392531971604082	28.736784366194794	24.626065231636332
K00013	415.76419324185	382.21704369126854	375.1705591156394	421.2528430863652	659.6707942511366	523.6472279898722	601.0998853353531	623.6063278342366	544.692988652231	781.4064744905237	254.54406368956552	218.0809410026961	197.01467528098823	200.2500131623258	198.18922361077185
K00014	37.293663166948356	34.333143874997326	35.22501712597	39.6227921714898	41.17581030436223	28.668954381568422	40.18417859549387	44.72586367663582	42.76401923993358	49.68310541343059	46.28073885264828	43.190664413216886	36.429128636861975	41.592714214229304	45.71002519022908
K00024	601.9919047980953	1018.2337918286499	655.2818254392776	719.0494074068254	871.8405945694475	1257.338427877358	926.1760335595897	959.3697758638384	897.4961473816829	938.6873111543425	2324.0644360504875	2286.3393092828996	2180.915282780298	2198.515250247408	2267.959404825905
K00027	216.30324636830045	231.79614262567253	210.14376655287583	207.2897653603203	234.4733642331738	341.9796701229948	266.8783723273144	227.14349338634335	264.80796529343485	281.9295745057984	246.5734919982761	260.4205578412683	237.9045135468537	232.61670713267154	240.1884718482886
K00029	123.42999486867423	146.8168693881101	118.70348236970712	126.16731191448066	168.9923881241533	222.03812628173912	178.47317941722793	190.08492062570224	170.5078203028121	222.25105143522796	273.5705896623209	231.48494030334962	212.99888478491746	223.8444255893068	230.23684274783284
K00031	1593.5221364819286	2085.9755977532905	1521.913753634375	1814.7238814542327	2080.5221928787473	3036.568841639594	1932.4432920439913	2353.2193703007106	2110.5140008221065	2640.848141590811	6075.118320057631	4630.337091747976	4974.062962141327	4920.49371466008	5503.92557927072
K00033	1809.3441742932362	1509.8995869888327	1830.012019866318	1759.0434314027182	1480.327569067245	1808.4844488454694	1512.3107765214484	1405.031060356031	1621.1949345190205	2020.2502982313315	1869.2276192152942	1872.304664218269	1931.3014064573101	1798.4689626232753	1883.556646860842
K00036	644.5788620919654	624.0665378383492	564.3240757372865	598.3041617894959	709.4248983689076	711.4581332242286	682.2996393248683	651.4002574047174	696.8342109481484	845.7887235173954	550.7407923465145	567.4359703943322	534.16997807317	512.8759778198239	527.605014003825
K00040	9.50386900060942	11.950210299032218	10.857025826497603	8.2373699514413	10.43692413964737	11.994154384125565	10.946724513944881	11.34120114657551	9.731555660369501	10.436391965543113	9.89893581014977	10.638094683058346	10.129528115862131	9.52851271089617	9.27694238178081
K00041	10.105379696850521	10.432723276932888	8.926887901786918	8.55018146858464	10.865838830317811	6.728428069143609	6.374042122043854	7.028350006328486	7.949721525372268	7.937537551258142	4.885189101112874	5.957333022512674	6.319338641088302	6.201095573757824	5.566165429068486
