category_id,category_name,k_study_hits,n_study_total,K_background_hits,N_background_total,gene_ratio,bg_ratio,fold_enrichment,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,p_value,study_items,q_value
02020,Two-component system,13,107,28,780,13/107,28/780,3.3845126835781043,6.066666666666666,2.7990983629147337,13.148678493070014,1.915014276862709e-05,"K01791,K02650,K07636,K07638,K07657,K07659,K08641,K09474,K10914,K11688,K11689,K11690,K18346",0.0027959208442195
00541,Biosynthesis of various nucleotide sugars,8,107,13,780,8/107,13/780,4.485981308411215,10.795959595959596,3.4626611881363725,33.65987524188629,6.992088060022874e-05,"K00067,K00973,K00979,K01627,K01791,K03270,K06041,K15894",0.0034060805706385
02010,ABC transporters,17,107,48,780,17/107,48/780,2.581775700934579,3.911827956989247,2.080655334312853,7.354604923134161,6.998795693092867e-05,"K02000,K02001,K02002,K09690,K09691,K09969,K09970,K09971,K09972,K10111,K10112,K10236,K10237,K10238,K17244,K17245,K17246",0.0034060805706385
01250,Biosynthesis of nucleotide sugars,12,107,29,780,12/107,29/780,3.016435707379955,4.874303405572755,2.2575936305281403,10.523963820725355,0.0001673774980788,"K00067,K00973,K00979,K01627,K01791,K01809,K03270,K06041,K08678,K09001,K15894,K25026",0.0061092786798777
00196,Photosynthesis - antenna proteins,5,107,7,780,5/107,7/780,5.2069425901201605,16.44607843137255,3.1489124241081026,85.89425787141923,0.0007452460371377,"K05376,K05383,K05384,K05385,K05386",0.0208008467673476
00520,Amino sugar and nucleotide sugar metabolism,10,107,25,780,10/107,25/780,2.91588785046729,4.52233676975945,1.975760350335185,10.351219901567903,0.000854829319206,"K00973,K01443,K01788,K01791,K01809,K02564,K07106,K08678,K09001,K25026",0.0208008467673476
00650,Butanoate metabolism,4,107,7,780,4/107,7/780,4.165554072096128,8.673139158576053,1.9135340449633833,39.31121218460723,0.0084392095517157,"K00240,K00241,K01580,K03737",0.1470597350820826
02025,Biofilm formation - Pseudomonas aeruginosa,3,107,4,780,3/107,4/780,5.4672897196261685,19.384615384615383,1.997432557868346,188.12315446108536,0.0090653261351968,"K01768,K03651,K10914",0.1470597350820826
00552,Teichoic acid biosynthesis,3,107,4,780,3/107,4/780,5.4672897196261685,19.384615384615383,1.997432557868346,188.12315446108536,0.0090653261351968,"K01005,K02851,K05946",0.1470597350820826
00627,Aminobenzoate degradation,2,107,2,780,2/107,2/780,7.289719626168224,31.919431279620852,1.5217615414868764,669.5202010552484,0.0186662716829597,"K01426,K03186",0.2271063054760102
00430,Taurine and hypotaurine metabolism,2,107,2,780,2/107,2/780,7.289719626168224,31.919431279620852,1.5217615414868764,669.5202010552484,0.0186662716829597,"K00259,K01580",0.2271063054760102
00511,Other glycan degradation,2,107,2,780,2/107,2/780,7.289719626168224,31.919431279620852,1.5217615414868764,669.5202010552484,0.0186662716829597,"K01191,K17108",0.2271063054760102
05111,Biofilm formation - Vibrio cholerae,3,107,5,780,3/107,5/780,4.373831775700935,9.677884615384615,1.5979689483759563,58.61281016998983,0.0204029000716366,"K01791,K03666,K10914",0.229140262342996
01501,beta-Lactam resistance,3,107,6,780,3/107,6/780,3.644859813084112,6.4423076923076925,1.2830965151524194,32.34622486480424,0.0367631411713163,"K03585,K17836,K18138",0.3833870436437276
02026,Biofilm formation - Escherichia coli,3,107,7,780,3/107,7/780,3.1241655540720963,4.824519230769231,1.0645454795632057,21.86471715385285,0.0580060898860167,"K07638,K07659,K10914",0.5645926082238967
00521,Streptomycin biosynthesis,3,107,8,780,3/107,8/780,2.733644859813084,3.853846153846154,0.9074243910275284,16.367347323226433,0.0837449589237766,"K00067,K00973,K25026",0.7135204142132564
00523,Polyketide sugar unit biosynthesis,2,107,4,780,2/107,4/780,3.644859813084112,6.390476190476191,0.8905148551222977,45.85907321606064,0.0928553963702183,"K00067,K00973",0.7135204142132564
01503,Cationic antimicrobial peptide (CAMP) resistance,2,107,4,780,2/107,4/780,3.644859813084112,6.390476190476191,0.8905148551222977,45.85907321606064,0.0928553963702183,"K03585,K18138",0.7135204142132564
00410,beta-Alanine metabolism,2,107,4,780,2/107,4/780,3.644859813084112,6.390476190476191,0.8905148551222977,45.85907321606064,0.0928553963702183,"K01580,K17722",0.7135204142132564
03430,Mismatch repair,4,107,14,780,4/107,14/780,2.082777036048064,2.574757281553398,0.7927630737256225,8.362366107388459,0.1124028897130662,"K01972,K03601,K03602,K07462",0.7886797250741989
03410,Base excision repair,3,107,9,780,3/107,9/780,2.4299065420560746,3.206730769230769,0.7897832359090602,13.020182955004397,0.1134402344284806,"K01972,K03575,K07462",0.7886797250741989
00910,Nitrogen metabolism,2,107,5,780,2/107,5/780,2.9158878504672896,4.253968253968254,0.7024631144431353,25.76113326621452,0.1411570605692727,"K00262,K00366",0.9367695837779008
00270,Cysteine and methionine metabolism,5,107,24,780,5/107,24/780,1.5186915887850465,1.6873065015479876,0.6163963169489708,4.6187868938902215,0.2232391899137558,"K01758,K08963,K08964,K08967,K09880",1.0
00999,Biosynthesis of various plant secondary metabolites,1,107,2,780,1/107,2/780,3.644859813084112,6.339622641509434,0.3935301355983748,102.12893905984522,0.2556927026760145,K05349,1.0
04940,Type I diabetes mellitus,1,107,2,780,1/107,2/780,3.644859813084112,6.339622641509434,0.3935301355983748,102.12893905984522,0.2556927026760145,K01580,1.0
04213,Longevity regulating pathway - multiple species,1,107,2,780,1/107,2/780,3.644859813084112,6.339622641509434,0.3935301355983748,102.12893905984522,0.2556927026760145,K01768,1.0
00525,Acarbose and validamycin biosynthesis,1,107,2,780,1/107,2/780,3.644859813084112,6.339622641509434,0.3935301355983748,102.12893905984522,0.2556927026760145,K00973,1.0
00524,"Neomycin, kanamycin and gentamicin biosynthesis",1,107,2,780,1/107,2/780,3.644859813084112,6.339622641509434,0.3935301355983748,102.12893905984522,0.2556927026760145,K25026,1.0
04727,GABAergic synapse,1,107,2,780,1/107,2/780,3.644859813084112,6.339622641509434,0.3935301355983748,102.12893905984522,0.2556927026760145,K01580,1.0
00543,Exopolysaccharide biosynthesis,1,107,2,780,1/107,2/780,3.644859813084112,6.339622641509434,0.3935301355983748,102.12893905984522,0.2556927026760145,K02851,1.0
