category_id,category_name,size,ES,NES,p_value,leading_edge_size,leading_edge_genes,q_value
M00896,"Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP",4,-0.8352774037110864,-1.4927750769551211,0.04559270516717325,3,"K00941,K00788,K03147",0.2017131804365847
M00023,"Tryptophan biosynthesis, chorismate => tryptophan",5,-0.7935034802784416,-1.4890742759111835,0.06180344478216818,5,"K01695,K01696,K13498,K13497,K01657",0.26539126288813397
M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),3,0.8618844744519583,1.418663485654044,0.065,2,"K22015,K00297",0.27114285714285713
M00529,"Denitrification, nitrate => nitrogen",5,0.7963114866681358,1.4457573586305912,0.07586206896551724,3,"K00371,K00374,K00370",0.29984391686519346
M01025,"dTDP-D-Fuc4NAc biosynthesis, Glc-1P => dTDP-D-Fuc4NAc",4,-0.8045062955599317,-1.4377821570769456,0.07598784194528875,4,"K00973,K01710,K02805,K16704",0.29984391686519346
M00027,GABA (gamma-Aminobutyrate) shunt,4,0.8190821533484022,1.414702873461251,0.08374384236453201,1,K01580,0.3138338707200982
M00899,"Thiamine salvage pathway, HMP/HET => TMP",3,-0.8492878436568118,-1.3863392832415402,0.08383233532934131,3,"K00941,K00878,K00788",0.3138338707200982
M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",4,-0.7922368399214098,-1.4158546662773417,0.08611955420466058,3,"K01756,K01939,K00940",0.3143363728470111
M00868,"Heme biosynthesis, animals and fungi, glycine => heme",6,-0.7423265029471313,-1.4513902980402786,0.08906882591093117,2,"K01772,K00228",0.31717191665843786
M00573,"Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin",3,-0.838025836369631,-1.367955689001988,0.0998003992015968,3,"K01935,K01012,K00652",0.3388571693821659
M00950,"Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin",3,-0.838025836369631,-1.367955689001988,0.0998003992015968,3,"K01935,K01012,K00652",0.3388571693821659
M00012,Glyoxylate cycle,7,-0.7006086128301926,-1.395136615874659,0.10851926977687627,5,"K01647,K01638,K01682,K01637,K00024",0.3600866678959985
M00014,Glucuronate pathway (uronate pathway),4,0.7944174169188081,1.3721024171364882,0.11133004926108374,3,"K00008,K01195,K00012",0.3612041598248495
M00048,"De novo purine biosynthesis, PRPP + glutamine => IMP",11,-0.6247426327894707,-1.4021174619807475,0.11673553719008264,7,"K01933,K01588,K01756,K01589,K11175,K00602,K01945",0.36988036593947926
M00978,Ornithine-ammonia cycle,6,-0.7128862404647259,-1.3938289538486306,0.1214574898785425,2,"K01956,K01955",0.36988036593947926
